PMID,DB.ID,REF.SENTENCE,ASSOCIATION.CLASS
29154276,id175432,We recently reported that alpha-2 macroglobulin (A2M) is a biomarker of neuronal injury in Alzheimer's disease (AD) and identified a network of nine genes co-expressed with A2M in the brain.,Y
26289409,id175433,"Genotype analysis of A2M gene showed a significant positive correlation between A2M AA genotype and the AD patients (sporadic Alzheimer's disease (SAD) and FAD) (P = 0.001, RR = 1.56), proposing it as a possible risk factor for AD.",Y
19639019,id175434,"To evaluate whether this observation also holds for a previously suggested Alzheimer's disease risk haplotype in the A2M gene, we analyzed this particular haplotype in 1042 German LLIs (aged 95-100 years) and 1040 younger individuals (aged 60-75 years).",X
17851198,id175435,"The role played by MT and A2M is reported in ageing and Alzheimer's disease and on some polymorphisms of A2M and inflammatory genes (cytokines and their receptors) because some of them may be affected by zinc, via MT homeostasis.",A
11281447,id175436,"This study was undertaken to investigate the role of two alpha2-macroglobulin (A2M) polymorphisms, an intronic 5-bp deletion and Ile1000Val, in the development of Alzheimer's disease (AD) and to evaluate the interaction between the apolipoprotein E (APOE) and A2M polymorphisms.",X
9811940,id175437,"We studied the relationship between Alzheimer's disease and a common A2M polymorphism, Val1000 (GTC)/Ile1000 (ATC), which occurs near the thiolester active site of the molecule.",X
35063134,id175438,"Moreover, ABCA1 and ABCG1 prevent amyloid β accumulation; therefore, their increased activity may prevent Alzheimer's disease.",A
31805338,id175439,"Natural products from traditional medicine constitute a large promising pool for compounds that regulate ABCA1 expression, and thus may prevent/treat diseases related to cholesterol metabolism, like atherosclerosis or Alzheimer's disease.",A
29605487,id175440,We examined ABCA1 gene polymorphisms in 88 Han Chinese patients with Alzheimer's disease who were receiving DNP therapy.,X
27215623,id175441,"We preformed this meta-analysis to investigate the influence of ABCA1 (ATP-binding cassette sub-family A member 1) rs2422493 (C-477T), rs1800977 (C-14T), rs2066718 (V771M), and PTGS2 (Prostaglandin-endoperoxide synthase 2) rs20417 (G-765C) polymorphisms on the risk of Alzheimer's disease (AD).",X
22982414,id175442,"In the past decade, a number of case-control studies have been carried out to investigate the relationship between ABCA1 polymorphisms and Alzheimer's disease (AD).",X
19606474,id175443,"Here, a detailed survey of genetic variation in the ABCA1 region has been performed in a total of 1,567 Swedish dementia cases (including 1,275 with Alzheimer disease) and 2,203 controls, providing evidence of association with maximum significance at marker rs2230805 (odds ratio [OR]=1.39; 95% confidence interval [CI] 1.23-1.57, p=7.7x10(-8)).",X
17510946,id175444,"To evaluate the relationship between ABCA1 genetic variants and Alzheimer's disease (AD), independently or in concert with the APOE epsilon4 allele, we examined three ABCA1 polymorphisms located in the coding region (R219K, I883M, and R1587K) and two ABCA1 polymorphisms in the promoter region (C-14T and C-477T) in a group of 372 Spanish AD patients and 440 controls.",X
16596262,id175445,"Since altered cholesterol metabolism is also involved in Alzheimer's disease (AD), the effects of two ABCA1 polymorphisms (G-395C promoter polymorphism (rs 2246293) and exonic R219K) on the risk of AD in 241 AD patients and 294 non-demented controls, and on CSF cholesterol and 24S-hydroxycholesterol in 74 AD patients and 42 non-demented controls were investigated.",X
16207707,id175446,These observations raise the possibility that ABCA1 may play a role in the pathogenesis of Alzheimer disease.,A
